File Name,Background,Body,Head,Hair,Face,Neck
Snow Doodle #1.png,Orange 1,Skinny Green 1,Snowman,Grease 3,Saddie 1,Warm Orange 1
Snow Doodle #10.png,Orange Blue 1,Big Blue 1,Human Yellow 2,Men Grey 1,Happy Heart 2,Ice Scarf
Snow Doodle #100.png,Purple 1,Fluffy Orange 1,Human Green 1,Long Red 1,Round Yellow 1,Short Green 1
Snow Doodle #1000.png,Yellow Pink 1,Sleek Blue 1,Human Blue Red 1,Men Blue 1,Blockhead 1,Scarf Red Blue 1
Snow Doodle #10000.png,Orange 2,Backpack 2,Human Dark 3,Party 1,Goggles Green 1,Scarf Red Green 4
Snow Doodle #1001.png,Green 3,Sleek Yellow 1,Human Blue 1,Men Blue 1,Round Red 1,Warm Blue 1
Snow Doodle #1002.png,Green Red 1,Big Red 2,Human Blue Red 1,Men Orange 1,Goggles Green 1,Short Blue 1
Snow Doodle #1003.png,Ski Land,Sleek Yellow 1,Human Yellow 1,Russian 2,Happy Heart 2,Scarf Red 1
Snow Doodle #1004.png,Mountain Night,Sweater Red 1,Human Blue Red 1,Wizard 1,Mask 12,Scarf Orange 1
Snow Doodle #1005.png,Orange Purple 1,Skinny Blue 1,Snowman,Long Brown 1,Round Red 1,Radar Comm
Snow Doodle #1006.png,Red 1,Sleek Red 1,Snowman,Poop 3,Goggles Yellow 1,Scarf Green 1
Snow Doodle #1007.png,Red 1,Sleek Red 1,Human Blue 4,Nerd Yellow 1,Moustache 2,Short Green 1
Snow Doodle #1008.png,Orange 1,Skinny Red 1,Human Blue Purple 1,Grease 3,Mask 4,Scarf Red 1
Snow Doodle #1009.png,Red 1,Sweater Orange 1,Zombie,Nerd Grey 1,Mask 7,Warm Red 1
Snow Doodle #101.png,Orange 3,Hoodie Orange 1,Human Red Yellow 1,Women Green 1,Sunblock 3,Warm Blue 1
Snow Doodle #1010.png,Yellow Pink 1,Sweater Green 1,Human Yellow 1,Earmuff 1,Mask 4,Scarf Blue 1
