Address, Age, No Of Tx, Balance, Minted, Bird Rating
0xF0e2B00Ae62e9984f8f871caEED7e11193D07C0B,4,43,0.4786901563178397,502,15.18
0xa68e0871971c63e7d6db85aD37BA79E4fcc37A52,4,16,0.008210207762573796,2,12.01
0x4758eb6bAe06cb23C9f1799b60a7CAB177E17321,272,140,0.024526715423839766,1,51.22
0xCAffeF528E7C371a01A1B98A232915E801A72526,163,541,0.9802855348797487,1,81.38
0x20a06170ED456701d48370F3739CBA119bac1455,14,509,0.07964006949191892,1,62.38
0xc7749B5D45b7192a014D6CD08408a3a8aaD8cF6e,290,1000,0.44122036218044075,1,90
0xfE505FDC65030dD93F44c5bAE1B0F36a55b50291,121,202,0.08790292464095971,1,42.39
0x132327A10EE277514Da59Bfbdb99F3Bfdb461e29,71,364,1.1234098719074754,1,54.62
0xED260E962Aa42f727F08b95C3298c973c133ce3B,25,121,0.06850205151716347,1,24.67
0xc959670f73AfC7aEC7D77BcF6F1bEc79AE8c4041,2,77,0.08639783014357141,1,17.99
0x6714a7aC26F18B514930800D91AC1ebb38aDEe5A,126,263,0.9657313291989421,1,49.87
0xB4749E39035613e0917e6ac4FC97813Ae0EE4c2c,149,1000,0.2429348333997576,1,90
0x2C62760EA134E5A0B7715AED0Cc7a45248AA31ba,107,226,0.04622312264411971,1,43.35
0xB6f55AC5ba481D38eB7B51cBba624048fc44FE29,9,80,0.02389660265453663,1,18.92
0x87933405d041141e3564cDD7a2D4b62411E76e89,120,152,0.12066971373473473,1,37.32
0x90eBBdcd83B62C5528b4c95C58cfc5c054159836,131,1000,0.01714548733970825,1,90
0x69420C67545E5eE95d1375F93Ec0Da06C05C9c1F,119,1000,5.604622988985022,1,90
0x823f532E99453c1DeC583eADeBA188770C5DBF8c,136,415,0.06404440308480937,1,65.16
0xC3817Ff6F16df1CdBA595458B67d405C730FabdF,136,539,0.09351517807786272,1,77.59
