Time, Seller, TokenId, Price_ETH, Up Sold, Royalty %
2021-05-23T23:58:15.000Z, '0xc948454951290bbb83e6d56e6fee5e9653750e7f', 9134, 0.7, 8.75, 50
2021-05-23T23:09:09.000Z, '0x32a88f097056c773569abb6a3cf8d88228466e00', 1022, 0.72, 9, 50
2021-05-23T23:08:03.000Z, '0x4f4715ca99c973a55303bc4a5f3e3acbb9ff75db', 8772, 0.39, 4.875, 50
2021-05-23T23:03:13.000Z, '0xbfadff92855cbb45495df33e45d91170e478b2b5', 8752, 0.58, 7.249999999999999, 50
2021-05-23T23:02:37.000Z, '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', 7767, 0.3888, 4.859999999999999, 50
2021-05-23T23:02:37.000Z, '0xf44587ffd04b0dcaa7e7138d2b56082b83b75cb0', 2667, 0.5, 6.25, 50
2021-05-23T23:01:44.000Z, '0xd5a9c4a92dde274e126f82b215fccb511147cd8e', 3657, 0.449, 5.6125, 50
2021-05-23T22:45:57.000Z, '0xadbc69b07b839ca353177b5a22013b30624d2dc5', 5582, 0.37, 4.625, 50
2021-05-23T22:14:55.000Z, '0x53fed1eb683745352886a363cc0b6e3415824ec8', 3966, 0.4999, 6.24875, 50
2021-05-23T22:13:05.000Z, '0xa32fcc1b3d4e2b597cf626f98228e68b63ef46f0', 8284, 0.7499, 9.37375, 50
2021-05-23T22:10:47.000Z, '0xd3d360bfa8b20252a6f06ad59d3cbbe13e57d335', 5493, 0.345, 4.3125, 50
2021-05-23T21:30:41.000Z, '0x1add18a1643caf074711e40b2afaf73354d1f743', 8744, 0.3863, 4.828749999999999, 50
2021-05-23T21:02:25.000Z, '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', 5678, 0.3655, 4.56875, 50
2021-05-23T20:38:35.000Z, '0xd5a9c4a92dde274e126f82b215fccb511147cd8e', 3659, 0.379, 4.7375, 50
2021-05-23T20:26:03.000Z, '0xc7daff430efad15679f8bb53530debee0308eb1b', 2956, 0.5, 6.25, 50
2021-05-23T19:55:20.000Z, '0x187a11a32d3d6a2e7097fe3c433850226b89914a', 4186, 0.39, 4.875, 50
2021-05-23T19:27:38.000Z, '0x813ec5facf289bd41365a8f1c9038a1228e95201', 8064, 0.48, 6, 50
2021-05-23T19:10:58.000Z, '0x813ec5facf289bd41365a8f1c9038a1228e95201', 3860, 0.43, 5.375, 50
2021-05-23T18:39:19.000Z, '0x442dccee68425828c106a3662014b4f131e3bd9b', 2785, 0.98, 12.25, 50
2021-05-23T18:30:14.000Z, '0x4686e9e0bd23fc2a363d639dc00b1212e6be7dc7', 8631, 0.35, 4.375, 50
2021-05-23T18:22:33.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 4016, 0.55, 6.875, 50
2021-05-23T17:37:01.000Z, '0x539ff8b44f0bcdf8effb875cb1f6e12382e4cda2', 9816, 0.1, 1.25, 25
2021-05-23T17:16:32.000Z, '0x5b04bee3d8abaebbc7a579384f0ce423553ec07f', 378, 0.75, 9.375, 50
2021-05-23T17:16:30.000Z, '0x95e8a4792d7e5bf6ce3973184400cc9c37b6ae67', 4847, 0.38, 4.75, 50
2021-05-23T15:37:54.000Z, '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', 4839, 0.4888, 6.11, 50
2021-05-23T14:31:23.000Z, '0x9a45c441a2b384a92cd65dfc144da8518ec05ae3', 8108, 0.8, 10, 50
2021-05-23T13:53:51.000Z, '0x7a37a180b143bf8b9b3875c0dcdbc6bca5b0050f', 9830, 0.65, 8.125, 50
2021-05-23T11:56:38.000Z, '0x25005b3f6402ab7f5e4f8cb293a50a9020aadc99', 7883, 0.3998, 4.9975, 50
2021-05-23T11:37:03.000Z, '0xbb403d793dda52f8512950953771b7c341086120', 2956, 0.4, 5, 50
2021-05-23T10:16:44.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 2494, 0.4, 5, 50
2021-05-23T10:14:27.000Z, '0x4a7c6899cdcb379e284fbfd045462e751da4c7ce', 3974, 0.35, 4.375, 50
2021-05-23T09:50:57.000Z, '0xadbc69b07b839ca353177b5a22013b30624d2dc5', 5589, 0.75, 9.375, 50
2021-05-23T09:02:58.000Z, '0xb32611a21beeacb2fed76350e3b77b79f05d0083', 7226, 0.49, 6.125, 50
2021-05-23T07:47:16.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 1922, 0.4, 5, 50
2021-05-23T07:38:09.000Z, '0x7d935fb77f7f1ae608f5ef535a347e8b9965bc99', 5125, 0.725, 9.0625, 50
2021-05-23T07:33:07.000Z, '0x9a45c441a2b384a92cd65dfc144da8518ec05ae3', 5098, 0.65, 8.125, 50
2021-05-23T07:08:35.000Z, '0xf3ec442f4bea565cfdc63fb279bbe08aa78e407d', 5290, 0.375, 4.6875, 50
2021-05-23T06:52:30.000Z, '0x4f4715ca99c973a55303bc4a5f3e3acbb9ff75db', 8536, 0.36, 4.5, 50
2021-05-23T06:48:28.000Z, '0xc0aae84f746dc46936af3445c2a05a4413da9a95', 6834, 0.4, 5, 50
