Time, Seller, Reward Winner, TokenId, Mint Price ETH, Selling Price ETH, Up Sold, Royalty, Reward
2021-05-23T00:10:15.000Z, '0x0544fbed9b72aa036517b21d1db50201a17d09ce', '0x0544fbed9b72aa036517b21d1db50201a17d09ce', 9355, 0.08, 0.45, 562.5%, 50%, 0.0225 
2021-05-23T00:25:45.000Z, '0x813ec5facf289bd41365a8f1c9038a1228e95201', '0x813ec5facf289bd41365a8f1c9038a1228e95201', 3437, 0.08, 0.47, 587.5%, 50%, 0.0235 
2021-05-23T00:27:13.000Z, '0x4500b3da96a716c14bf8a35d0de8c9d43d75a865', '0x4500b3da96a716c14bf8a35d0de8c9d43d75a865', 3381, 0.08, 0.357547627578002587, 446.93453447250323%, 50%, 0.01787738137890013 
2021-05-23T01:27:37.000Z, '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', 7596, 0.08, 0.3888, 486.00000000000006%, 50%, 0.01944 
2021-05-23T01:55:51.000Z, '0xe7ba4861dab7fa95ae5fb8227de310133ca56a29', '0xe7ba4861dab7fa95ae5fb8227de310133ca56a29', 3823, 0.08, 0.45, 562.5%, 50%, 0.0225 
2021-05-23T02:00:09.000Z, '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', 2151, 0.08, 0.5998, 749.75%, 50%, 0.02999 
2021-05-23T02:05:09.000Z, '0x184dfd1197187c8ffc88da905fbacd31b739fa41', '0x184dfd1197187c8ffc88da905fbacd31b739fa41', 3310, 0.08, 0.4, 500%, 50%, 0.02 
2021-05-23T02:42:22.000Z, '0x167539702b5501aadd9b0b85e53532fd57cc71a9', '0x167539702b5501aadd9b0b85e53532fd57cc71a9', 8041, 0.08, 0.44, 550%, 50%, 0.022 
2021-05-23T02:50:11.000Z, '0xc2352b1bb2115074b4c13a529b2c221e118d9817', '0xc2352b1bb2115074b4c13a529b2c221e118d9817', 6990, 0.08, 0.32, 400%, 50%, 0.016 
2021-05-23T03:15:38.000Z, '0x813ec5facf289bd41365a8f1c9038a1228e95201', '0x813ec5facf289bd41365a8f1c9038a1228e95201', 2600, 0.08, 0.43, 537.5%, 50%, 0.0215 
2021-05-23T03:16:13.000Z, '0x27f4f8abffd79ed52fea07127f780b79e17723f8', '0x27f4f8abffd79ed52fea07127f780b79e17723f8', 4280, 0.08, 0.75, 937.5%, 50%, 0.0375 
2021-05-23T03:22:22.000Z, '0x177d902f15c55b4cd40b294836b846f40694b4d9', '0x177d902f15c55b4cd40b294836b846f40694b4d9', 842, 0.08, 0.63, 787.5%, 50%, 0.0315 
2021-05-23T03:34:49.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 1853, 0.08, 0.45, 562.5%, 50%, 0.0225 
2021-05-23T03:45:45.000Z, '0xe57c7007e3de62c648bc1238b8017e716d9ed0d6', '0xe57c7007e3de62c648bc1238b8017e716d9ed0d6', 4199, 0.08, 0.4, 500%, 50%, 0.02 
2021-05-23T03:48:47.000Z, '0x184dfd1197187c8ffc88da905fbacd31b739fa41', '0x184dfd1197187c8ffc88da905fbacd31b739fa41', 4027, 0.08, 0.4, 500%, 50%, 0.02 
2021-05-23T04:21:55.000Z, '0x0ca3a3b144148642f68b88bded521ce637db8f3e', '0x0ca3a3b144148642f68b88bded521ce637db8f3e', 6982, 0.08, 0.3666, 458.24999999999994%, 50%, 0.01833 
2021-05-23T04:40:34.000Z, '0xa32fcc1b3d4e2b597cf626f98228e68b63ef46f0', '0xa32fcc1b3d4e2b597cf626f98228e68b63ef46f0', 9636, 0.08, 0.5949, 743.625%, 50%, 0.029745 
2021-05-23T05:03:07.000Z, '0xdb4df088e85e5d66d2d2ab451d5ead618c124305', '0xdb4df088e85e5d66d2d2ab451d5ead618c124305', 7561, 0.08, 0.36, 450%, 50%, 0.018 
2021-05-23T05:15:41.000Z, '0xd5a9c4a92dde274e126f82b215fccb511147cd8e', '0xd5a9c4a92dde274e126f82b215fccb511147cd8e', 3651, 0.08, 0.398, 497.49999999999994%, 50%, 0.0199 
2021-05-23T05:43:24.000Z, '0xd5a9c4a92dde274e126f82b215fccb511147cd8e', '0xd5a9c4a92dde274e126f82b215fccb511147cd8e', 3653, 0.08, 0.349, 436.25%, 50%, 0.01745 
2021-05-23T05:51:17.000Z, '0x6806232ef50fe8713826012116b6dec3b24b686f', '0x6806232ef50fe8713826012116b6dec3b24b686f', 5542, 0.08, 0.369, 461.25%, 50%, 0.01845 
2021-05-23T05:53:29.000Z, '0x35f0686c63f50707ea3b5bace186938e4e19f03a', '0x35f0686c63f50707ea3b5bace186938e4e19f03a', 6942, 0.08, 0.54, 675%, 50%, 0.027 
2021-05-23T06:05:03.000Z, '0x44b12d1a822d546df7e3aa1c4c923f31498b7039', '0x44b12d1a822d546df7e3aa1c4c923f31498b7039', 8842, 0.08, 0.7, 875%, 50%, 0.035 
2021-05-23T06:12:10.000Z, '0xcc47fcbfdd6e558fb39cf5ef4d92e59890476b86', '0xcc47fcbfdd6e558fb39cf5ef4d92e59890476b86', 5368, 0.08, 0.89, 1112.5%, 50%, 0.0445 
2021-05-23T06:24:11.000Z, '0xf7adc901c921ca4eecc0f95a26aec81dacf57620', '0xf7adc901c921ca4eecc0f95a26aec81dacf57620', 2343, 0.08, 0.5, 625%, 50%, 0.025 
2021-05-23T06:30:28.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 4002, 0.08, 0.35, 437.5%, 50%, 0.0175 
2021-05-23T06:31:15.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 2762, 0.08, 0.35, 437.5%, 50%, 0.0175 
2021-05-23T06:32:01.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 4620, 0.08, 0.35, 437.5%, 50%, 0.0175 
2021-05-23T06:32:01.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 5638, 0.08, 0.413, 516.25%, 50%, 0.02065 
2021-05-23T06:32:14.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 5796, 0.08, 1, 1250%, 50%, 0.05 
2021-05-23T06:33:41.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 2381, 0.08, 0.385, 481.25%, 50%, 0.01925 
2021-05-23T06:37:07.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 4822, 0.08, 0.37, 462.5%, 50%, 0.0185 
2021-05-23T06:48:28.000Z, '0xc0aae84f746dc46936af3445c2a05a4413da9a95', '0xc0aae84f746dc46936af3445c2a05a4413da9a95', 6834, 0.08, 0.4, 500%, 50%, 0.02 
2021-05-23T06:52:30.000Z, '0x4f4715ca99c973a55303bc4a5f3e3acbb9ff75db', '0x4f4715ca99c973a55303bc4a5f3e3acbb9ff75db', 8536, 0.08, 0.36, 450%, 50%, 0.018 
2021-05-23T07:08:35.000Z, '0xf3ec442f4bea565cfdc63fb279bbe08aa78e407d', '0xf3ec442f4bea565cfdc63fb279bbe08aa78e407d', 5290, 0.08, 0.375, 468.75%, 50%, 0.01875 
2021-05-23T07:33:07.000Z, '0x9a45c441a2b384a92cd65dfc144da8518ec05ae3', '0x9a45c441a2b384a92cd65dfc144da8518ec05ae3', 5098, 0.08, 0.65, 812.5%, 50%, 0.0325 
2021-05-23T07:38:09.000Z, '0x7d935fb77f7f1ae608f5ef535a347e8b9965bc99', '0x7d935fb77f7f1ae608f5ef535a347e8b9965bc99', 5125, 0.08, 0.725, 906.25%, 50%, 0.03625 
2021-05-23T07:47:16.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 1922, 0.08, 0.4, 500%, 50%, 0.02 
2021-05-23T09:02:58.000Z, '0xb32611a21beeacb2fed76350e3b77b79f05d0083', '0xb32611a21beeacb2fed76350e3b77b79f05d0083', 7226, 0.08, 0.49, 612.5%, 50%, 0.0245 
2021-05-23T09:50:57.000Z, '0xadbc69b07b839ca353177b5a22013b30624d2dc5', '0xadbc69b07b839ca353177b5a22013b30624d2dc5', 5589, 0.08, 0.75, 937.5%, 50%, 0.0375 
2021-05-23T10:14:27.000Z, '0x4a7c6899cdcb379e284fbfd045462e751da4c7ce', '0x4a7c6899cdcb379e284fbfd045462e751da4c7ce', 3974, 0.08, 0.35, 437.5%, 50%, 0.0175 
2021-05-23T10:16:44.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 2494, 0.08, 0.4, 500%, 50%, 0.02 
2021-05-23T11:37:03.000Z, '0xbb403d793dda52f8512950953771b7c341086120', '0xbb403d793dda52f8512950953771b7c341086120', 2956, 0.08, 0.4, 500%, 50%, 0.02 
2021-05-23T11:56:38.000Z, '0x25005b3f6402ab7f5e4f8cb293a50a9020aadc99', '0x25005b3f6402ab7f5e4f8cb293a50a9020aadc99', 7883, 0.08, 0.3998, 499.74999999999994%, 50%, 0.01999 
2021-05-23T13:53:51.000Z, '0x7a37a180b143bf8b9b3875c0dcdbc6bca5b0050f', '0x7a37a180b143bf8b9b3875c0dcdbc6bca5b0050f', 9830, 0.08, 0.65, 812.5%, 50%, 0.0325 
2021-05-23T14:31:23.000Z, '0x9a45c441a2b384a92cd65dfc144da8518ec05ae3', '0x9a45c441a2b384a92cd65dfc144da8518ec05ae3', 8108, 0.08, 0.8, 1000%, 50%, 0.04 
2021-05-23T15:37:54.000Z, '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', 4839, 0.08, 0.4888, 611%, 50%, 0.02444 
2021-05-23T17:16:30.000Z, '0x95e8a4792d7e5bf6ce3973184400cc9c37b6ae67', '0x95e8a4792d7e5bf6ce3973184400cc9c37b6ae67', 4847, 0.08, 0.38, 475%, 50%, 0.019 
2021-05-23T17:16:32.000Z, '0x5b04bee3d8abaebbc7a579384f0ce423553ec07f', '0x5b04bee3d8abaebbc7a579384f0ce423553ec07f', 378, 0.08, 0.75, 937.5%, 50%, 0.0375 
2021-05-23T17:37:01.000Z, '0x539ff8b44f0bcdf8effb875cb1f6e12382e4cda2', '0x539ff8b44f0bcdf8effb875cb1f6e12382e4cda2', 9816, 0.08, 0.28, 350%, 50%, 0.014 
2021-05-23T18:22:33.000Z, '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', '0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459', 4016, 0.08, 0.55, 687.5%, 50%, 0.0275 
2021-05-23T18:30:14.000Z, '0x4686e9e0bd23fc2a363d639dc00b1212e6be7dc7', '0x4686e9e0bd23fc2a363d639dc00b1212e6be7dc7', 8631, 0.08, 0.35, 437.5%, 50%, 0.0175 
2021-05-23T18:39:19.000Z, '0x442dccee68425828c106a3662014b4f131e3bd9b', '0x442dccee68425828c106a3662014b4f131e3bd9b', 2785, 0.08, 0.98, 1225%, 50%, 0.049 
2021-05-23T19:10:58.000Z, '0x813ec5facf289bd41365a8f1c9038a1228e95201', '0x813ec5facf289bd41365a8f1c9038a1228e95201', 3860, 0.08, 0.43, 537.5%, 50%, 0.0215 
2021-05-23T19:27:38.000Z, '0x813ec5facf289bd41365a8f1c9038a1228e95201', '0x813ec5facf289bd41365a8f1c9038a1228e95201', 8064, 0.08, 0.48, 600%, 50%, 0.024 
2021-05-23T19:55:20.000Z, '0x187a11a32d3d6a2e7097fe3c433850226b89914a', '0x187a11a32d3d6a2e7097fe3c433850226b89914a', 4186, 0.08, 0.39, 487.5%, 50%, 0.0195 
2021-05-23T20:26:03.000Z, '0xc7daff430efad15679f8bb53530debee0308eb1b', '0xbb403d793dda52f8512950953771b7c341086120', 2956, 0.08, 0.5, 625%, 50%, 0.025 
2021-05-23T20:38:35.000Z, '0xd5a9c4a92dde274e126f82b215fccb511147cd8e', '0xd5a9c4a92dde274e126f82b215fccb511147cd8e', 3659, 0.08, 0.379, 473.75%, 50%, 0.01895 
2021-05-23T21:02:25.000Z, '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', 5678, 0.08, 0.3655, 456.87499999999994%, 50%, 0.018275 
2021-05-23T21:30:41.000Z, '0x1add18a1643caf074711e40b2afaf73354d1f743', '0x1add18a1643caf074711e40b2afaf73354d1f743', 8744, 0.08, 0.3863, 482.87500000000006%, 50%, 0.019315 
2021-05-23T22:10:47.000Z, '0xd3d360bfa8b20252a6f06ad59d3cbbe13e57d335', '0xd3d360bfa8b20252a6f06ad59d3cbbe13e57d335', 5493, 0.08, 0.345, 431.25%, 50%, 0.01725 
2021-05-23T22:13:05.000Z, '0xa32fcc1b3d4e2b597cf626f98228e68b63ef46f0', '0xa32fcc1b3d4e2b597cf626f98228e68b63ef46f0', 8284, 0.08, 0.7499, 937.3749999999999%, 50%, 0.037495 
2021-05-23T22:14:55.000Z, '0x53fed1eb683745352886a363cc0b6e3415824ec8', '0x53fed1eb683745352886a363cc0b6e3415824ec8', 3966, 0.08, 0.4999, 624.875%, 50%, 0.024995 
2021-05-23T22:45:57.000Z, '0xadbc69b07b839ca353177b5a22013b30624d2dc5', '0xadbc69b07b839ca353177b5a22013b30624d2dc5', 5582, 0.08, 0.37, 462.5%, 50%, 0.0185 
2021-05-23T23:01:44.000Z, '0xd5a9c4a92dde274e126f82b215fccb511147cd8e', '0xd5a9c4a92dde274e126f82b215fccb511147cd8e', 3657, 0.08, 0.449, 561.25%, 50%, 0.02245 
2021-05-23T23:02:37.000Z, '0xf44587ffd04b0dcaa7e7138d2b56082b83b75cb0', '0xf44587ffd04b0dcaa7e7138d2b56082b83b75cb0', 2667, 0.08, 0.5, 625%, 50%, 0.025 
2021-05-23T23:02:37.000Z, '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', '0x69bab6810fa99475854bca0a3dd72ae6a0728ece', 7767, 0.08, 0.3888, 486.00000000000006%, 50%, 0.01944 
2021-05-23T23:03:13.000Z, '0xbfadff92855cbb45495df33e45d91170e478b2b5', '0xbfadff92855cbb45495df33e45d91170e478b2b5', 8752, 0.08, 0.58, 725%, 50%, 0.029 
2021-05-23T23:08:03.000Z, '0x4f4715ca99c973a55303bc4a5f3e3acbb9ff75db', '0x4f4715ca99c973a55303bc4a5f3e3acbb9ff75db', 8772, 0.08, 0.39, 487.5%, 50%, 0.0195 
2021-05-23T23:09:09.000Z, '0x32a88f097056c773569abb6a3cf8d88228466e00', '0x32a88f097056c773569abb6a3cf8d88228466e00', 1022, 0.08, 0.72, 900%, 50%, 0.036 
2021-05-23T23:58:15.000Z, '0xc948454951290bbb83e6d56e6fee5e9653750e7f', '0xc948454951290bbb83e6d56e6fee5e9653750e7f', 9134, 0.08, 0.7, 875%, 50%, 0.035 
2021-05-24T00:04:16.000Z, '0xa2274adca3bb9eb790abe74dcc6a6593126f071c', '0xa2274adca3bb9eb790abe74dcc6a6593126f071c', 8137, 0.08, 0.54, 675%, 50%, 0.027 
2021-05-24T00:38:16.000Z, '0x527d968af4283f20924c2e5b8dff867aab566478', '0x527d968af4283f20924c2e5b8dff867aab566478', 7188, 0.08, 0.49, 612.5%, 50%, 0.0245 
2021-05-24T00:39:21.000Z, '0x9499054d02a725316d61fa896c29d58550ee4a5b', '0x9499054d02a725316d61fa896c29d58550ee4a5b', 5550, 0.08, 0.5, 625%, 50%, 0.025 
2021-05-24T00:50:39.000Z, '0x059b738209b28f91d42e0f44746a47e8d2dbd266', '0x059b738209b28f91d42e0f44746a47e8d2dbd266', 3973, 0.08, 0.41, 512.5%, 50%, 0.0205 
